Timestamp,Plant Name,Variety,Watering Status,Temperature(C),Humidity(%),Soil Moisture(%),Health Score,Photo Quality,Notes
2026-09-03T01:35:36.076Z,"Tulsi","",before,25.9,71,0,2,medium,""
2026-09-03T01:35:59.664Z,"Tulsi","",before,25.9,71,0,2,medium,""
2026-09-03T01:37:03.852Z,"Tulsi","",before,25.8,71,0,2,medium,""
2026-09-03T01:37:29.033Z,"Tulsi","",before,25.7,71,0,1,medium,""
2026-09-03T01:37:49.984Z,"Tulsi","",before,25.7,71,0,7,medium,""
2026-09-03T01:38:11.745Z,"Tulsi","",before,25.7,72,0,6,medium,""
2026-09-03T01:41:13.113Z,"stonecrop","",after,26.2,70,0,5,medium,""
2026-09-03T01:41:50.412Z,"stonecrop","",after,26.2,70,0,5,medium,""
2026-09-03T01:42:11.039Z,"stonecrop","",before,26.3,70,0,5,medium,""
2026-09-03T06:02:00.000Z,"Money Plant","",after,27,68,0,7,medium,""
2026-09-03T06:03:04.055Z,"Money Plant","",after,27.1,67,0,5,medium,""
2026-09-03T06:03:43.212Z,"Money Plant","",after,27.2,67,0,9,medium,""
2026-09-03T06:05:05.202Z,"Money Plant","",after,27.3,67,0,2,medium,""
2026-09-03T06:11:40.223Z,"Money Plant","",after,27.3,66,0,8,medium,""
2026-09-03T06:12:26.113Z,"Money Plant","",after,27.5,66,0,10,medium,""
2026-09-03T06:12:54.499Z,"Money Plant","",after,27.5,65,0,2,medium,""
2026-09-03T06:13:20.964Z,"Money Plant","",after,27.5,65,0,1,medium,""
2026-09-03T06:14:20.243Z,"Money Plant","",after,27.4,65,0,10,medium,""
2026-09-03T06:14:43.787Z,"Money Plant","",after,27.4,64,0,7,medium,""
2026-09-03T06:15:16.034Z,"Money Plant","",after,27.4,65,0,8,medium,""
2026-09-03T06:15:36.057Z,"Money Plant","",after,27.5,65,0,1,medium,""
2026-09-03T06:15:54.359Z,"Money Plant","",after,27.5,64,0,2,medium,""
